Drug1,Drug2,Label
Abemaciclib,Amiodarone,1
Abemaciclib,Apalutamide,3
Abemaciclib,Aprepitant,2
Abemaciclib,Atomoxetine,0
Abemaciclib,Bortezomib,0
Abemaciclib,Bosentan,3
Abemaciclib,Bosutinib,2
Abemaciclib,Carbamazepine,3
Abemaciclib,Ceritinib,1
Abemaciclib,Clarithromycin,1
Abemaciclib,Clemastine,0
Abemaciclib,Clotrimazole,0
Abemaciclib,Colchicine,2
Abemaciclib,Conivaptan,2
Abemaciclib,Crizotinib,0
Abemaciclib,Cyclosporine,0
Abemaciclib,Dabigatranetexilate,12
Dabrafenib,Abemaciclib,3
Dasatinib,Abemaciclib,2
Dihydroergotamine,Abemaciclib,0
Diltiazem,Abemaciclib,0
Doxorubicin,Abemaciclib,2
Doxycycline,Abemaciclib,0
Dronedarone,Abemaciclib,0
Eltrombopag,Abemaciclib,2
Enzalutamide,Abemaciclib,3
Erythromycin,Abemaciclib,0
Everolimus,Abemaciclib,2
Fluvoxamine,Abemaciclib,0
Fosphenytoin,Abemaciclib,3
Imatinib,Abemaciclib,0
Isavuconazole,Abemaciclib,2
Isradipine,Abemaciclib,0
Itraconazole,Abemaciclib,1
Ivacaftor,Abemaciclib,2
Ketoconazole,Abemaciclib,2
Lorpiprazole,Abemaciclib,2
Lovastatin,Abemaciclib,0
Lumacaftor,Abemaciclib,3
Midostaurin,Abemaciclib,3
Mifepristone,Abemaciclib,2
Mitotane,Abemaciclib,3
Naloxegol,Abemaciclib,2
Nefazodone,Abemaciclib,1
Netupitant,Abemaciclib,2
Aceclofenac,Abiraterone,0
Acenocoumarol,Abiraterone,2
Acetaminophen,Abiraterone,2
Acetylcholine,Abiraterone,2
Acetylsalicylicacid,Abiraterone,2
Adinazolam,Abiraterone,0
Agomelatine,Abiraterone,2
Ajmaline,Abiraterone,2
Albendazole,Abiraterone,2
Almotriptan,Abiraterone,2
Alogliptin,Abiraterone,2
Alosetron,Abiraterone,2
Alprenolol,Abiraterone,2
Ambrisentan,Abiraterone,0
Aminophylline,Abiraterone,2
Amiodarone,Abiraterone,2
Amitriptyline,Abiraterone,2
Amodiaquine,Abiraterone,2
Amoxapine,Abiraterone,2
Amphetamine,Abiraterone,2
Amsacrine,Abiraterone,2
Anagrelide,Abiraterone,2
Antipyrine,Abiraterone,2
Apalutamide,Abiraterone,3
Apixaban,Abiraterone,2
Aprepitant,Abiraterone,2
Aprindine,Abiraterone,2
Arformoterol,Abiraterone,2
Aripiprazole,Abiraterone,2
Asenapine,Abiraterone,2
Astemizole,Abiraterone,2
Atomoxetine,Abiraterone,2
Atorvastatin,Abiraterone,2
Axitinib,Abiraterone,2
Azelastine,Abiraterone,2
Benzatropine,Abiraterone,2
Bepridil,Abiraterone,2
Betaxolol,Abiraterone,2
Bexarotene,Abiraterone,0
Bisoprolol,Abiraterone,2
Bortezomib,Abiraterone,2
Bosentan,Abiraterone,2
Brexpiprazole,Abiraterone,2
Brigatinib,Abiraterone,2
Brivaracetam,Abiraterone,0
Bromazepam,Abiraterone,2
Brompheniramine,Abiraterone,2
Bupivacaine,Abiraterone,2
Buprenorphine,Abiraterone,2
Bupropion,Abiraterone,2
Buspirone,Abiraterone,2
Cabazitaxel,Abiraterone,2
Cabozantinib,Abiraterone,0
Caffeine,Abiraterone,2
