id,name,smiles,fpt
DB00006,Bivalirudin,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,00070000010076082010010004010e000018008000000010020000002000200c00200a80000a09c2083000004003b0000e0090320100200180180000001c0008100000000200000100c000180002020100000100383d0e200300008383500018000018018000000040120000100000000c0000120006001ba008400000802e00
DB00035,Desmopressin,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O,00030000810036186010010044110f000000000000000110020000002000200c00200a80020f09c2083000004003b0000e009016000420018000000000140008000000000200000100000018004e230140000140382d06200000060387500018000018008080000040120400100000000c0000120006803ba008400003c12600
DB00091,Cyclosporine,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,0001000081007000001000000400040000000080000000000000000020000408000000000010008000200000400130001602800a000020018018040000080008100000000000000000c1200000002201000000003004061003008083021000180000000100000000004040009000000008000000000400012400400000002200
DB00115,Cyanocobalamin,C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2,0043200205415842803c417085050f00023c04e6041844d010004f68b00474061020452121918cf70521800cc00390020412b01a0bea2120c00a1cc0003ececc10af08b043800a0639e120004002726bc00a00a13c030e33278084010e54081814220480e00200024e404240f2450d780e50021102468059759a000a48a9a2a0
DB00118,Ademetionine,C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,0000000a01c018008008002388190660001800e00200e02000008c000000080084c00100018040f00c00b00c400fb00404019000808c010000081090101ec00c042000200000000019c0000080201001c008002010000a50278007400c200014100084004000001200000200100020700000120800460020c0280000050100c0
DB00122,Choline,C[N+](C)(C)CCO,0000000000000000000000000000040000000080000000000000000000000000000000000000000000200000400000000000000000000000000000000008000800000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000400000000000000000200
DB00126,Ascorbicacid,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,00040008800000000000050010010200006000400000000002000280280014000100000001500000000002004000c000880280000000000000000004000a8008000200100000000001450010000020010000002000000a8005008000080000100000140000000400004000008000002000014200000000081400000000800010
DB00127,Spermine,NCCCNCCCCNCCCN,0000000000000400001000000000040000000000000000000000000020000000002000000000018000200000400200000000000200000000000000000000000000000000000000000000000000000201000000001000000000000000000000100000000000000000000000001000000000000000000400100000000000002200
DB00134,Methionine,CSCC[C@H](N)C(O)=O,00000000000000000000000000100440000000000200200000000000000000008400000000004000000000004008300004018000000400000000000000080008040000000000000000400000000000010000000010000a0003000300000000100000000000000000000000000000000000000000000400000000000001010000
DB00136,Calcitriol,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,0000040081040000000000000000000040080000000000010000000000000400000000000010000800000200400000000002000002800000000004040008000c00000000000000000340209000000001000000000000000001008000000000120000000000000000004040008000000000000000010000002482000004000000
DB00139,Succinicacid,OC(=O)CCC(O)=O,00040000000000000000000000000000002000000000000000000000000000000000000000000000000000004000100004008000000000000000000000080008000000000000000000400000000000010000000000000a0001000000000000100000000000000000000000000000000000000002000000000000000000000000
DB00140,Riboflavin,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,0000002a010108008018010012050610203c00620000e010100088060010040006400100208218e01800000c400588108600880001f08000002e00c1020cc00c080080601680300409e0000850401003c010008178008070278000000470041400040006c010000060008040100000b00042400c00460c40c04c1000000002a0
DB00145,Glycine,NCC(O)=O,00000000000000000000000000000400000000000000000000000000000000000000000000000000000000004000200000008000000000000000000000080008000000000000000000000000000000000000000000000a0002000000000000000000000000000000000000000000000000000000000400000000000000000000
DB00146,Calcifediol,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,0000040081040000000000000000000040080000000000010000000000000400000000000010000800000200400000000002000000800000000004040008000c00000000000000000240208000000001000000000000000001008000000000120000000000000000004040008000000000000000010000002482000004000000
DB00150,Tryptophan,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,00000002000008000000010041810610000410000000000000002000000000000040080000090840081000044000b0001c0088000040080000000040000c000c000000000200000000600408000000014000010018008a0823800040814000100004380180000000080000000000000004000000000600020004020000000420
DB00152,Thiamine,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,0002000a21000000001008001808061e01100060000040000040f0a00000980898420100084800d040000a04504210000000002200200001004a2100000c004c100000008200008008408010c02000000000080090080080218041c010010194020410024c00000000200000100000040602000c04460a0860000000c08100c0
DB00153,Ergocalciferol,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,0000040081040000000000000000000040080000000000010000000000000402000000000010000800000200400000000002000000800000000004040008000c00000000000000000240208000000001000000000000000001008000000000120020000000000000004040008000000000000000010000002482000004000000
DB00158,Folicacid,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,1003c00a01a058000018090298010e10001a10c00010c0000000f0042200180116400100000208e0412100044000b0000600882202408000008e0440000c010c180400000200c0000840000040200201401000801c068e40238108400070001c00140000c000000168008000b00400840000c10c00461801e004400080800a80
DB00162,Vitamina,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,0000040001040000000000000000000040000000000000010000000000000402000000000010000000000000400000000002000000020000000004000008000c00000000000000200000209000000001000000000000000000408000000000120020100000000000004040008000000000000000000000002482000000000000
DB00163,Vitamine,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,04000000430000182000010a0001030000081001c20000000200100000000200000009000008084008100000400088400080000200a000801100002100082008008000002200800000482000000202010000010008000000010040400040001000000000c0000001000800000000000000000302000240020002000002000400
DB00165,Pyridoxine,CC1=C(O)C(CO)=C(CO)C=N1,00000002480008086000410010040210000410200000c0040000000000200800004001000000005000000004400008008000080400208000000200000a0c200c0000000002000004002000004002000040000020080080402080000000400004000424008000080008000040000000000040000400020000c000000000000020
DB00166,Lipoicacid,OC(=O)CCCC[C@@H]1CCSS1,0001000043000010600000004010000000080000000001000000000000000000002000000000000000000000400210000400800c008400000000000000080008000000000000000000402000000c00010000004000000a0001040100000000100000000000000000000000000000000000000000000000002002000001410000
DB00169,Cholecalciferol,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,0000040081040000000000000000000040080000000000010000000000000400000000000010000800000200400000000002000000800000000004040008000c00000000000000000240208000000001000000000000000001008000000000120000000000000000004040008000000000000000010000002482000004000000
DB00170,Menadione,CC1=CC(=O)C2=CC=CC=C2C1=O,000000000000080000000100000102000000000000808002200000010000040381000800009808400810000040009000000080000020000000000000000000000000000402100000003100000000080100400100080202c00000c000004000140000000084000001004000000000000000000000000200028400000000000400
DB00173,Adenine,NC1=C2NC=NC2=NC=N1,0000000a008018000008000008080620000000400000c000000080000000080000400100000000000000800400001000000000000000000000000000100c00040000000000000000004000008020000000000000000000402180004000000004000000000000000000000000000000000000000800460000c0000000000000c0
DB00176,Fluvoxamine,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,00000000010000000090010200050f0000080000100000001000044000002000001089480008085109110000400088010000080001a0000000000000000900180080000002000000804064000080040100000100080080000300000000400010000000008000000448000100920000000000020a000600024018000000000600
DB00177,Valsartan,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,0001a0080180501940100100000106000000008008020008000000042208100000000100000008c0002080004001b0008600888200200000a00804000008200c100200000200080004400000100002018006010018008e00130080000050401800000000c020000010000000900000400000410400060001a004420008002200
DB00178,Ramipril,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,000100000100520000100102840107000008008000000010000000002000000000000800000808c0083020004001b0000600801a01a0200380181008000c1008108200000200000000402000000002010000012038040e10130000010250001800000400800000000000000010000001080002000106000b2002400000402600
DB00180,Flunisolide,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,00010002810000000010000000090100003c144000200004000008800a0004020120000001100020000000014000d0001402802802800000000004000828100800800000800000001341a0000002200100000021000002800500800008100814002004000000002000404020b4000020000002000300000024a2000000000200
DB00182,Amphetamine,CC(N)CC1=CC=CC=C1,0000000000000000000001000001060000000000000000000000000000000000000008000008084008100000400080000000000000000000000000000000000000000000020000000000000000000001000001001800000000000000814000100000000080000000000000000000000004000000000600020000000000000400
DB00184,Nicotine,CN1CCC[C@H]1C1=CN=CC=C1,100000020100c00000104102008006100004110000000010000060000200100000500800000800c001300004400100000000080200200800000004000004000400020000020000040020040000000201400001001800880020800000005000100004000040000000080000009000000000400100000600022000000080000600
DB00185,Cevimeline,CC1O[C@@]2(CS1)CN1CCC2CC1,000000000100000000100031801105400410008000000000000000002000001004400000000040c000301000500780100001000200140600008850080008180814040000002000000040000000000201400000201000000013000300003000100000040000082010000002001000200100000200000400200000000005013a00
DB00186,Lorazepam,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,0000c002040400000020112008010600400440a00028004014000000012401000000030100290e45082800244000ec0002008004005080008006004000180008022488005280000108008000000000004010240028000740220020000040001000002080a0000200480800104504108008088098000684034400008022020600
DB00187,Esmolol,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,04000000000000082010010800010700000010800200000002040000000000000000080000080840083000004000900004808002000000000120000100082008102200000200000000c00008000202010000010018000a00070000c0084000100000080180000000001200000080000000000200000600020000000000000640
DB00188,Bortezomib,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,10018002008032000010090016010e1000000040001000000000c0002000300d10000880000908c0097980006000b00006008003001020000082040020040104080200000600000200000008000002018000010038278e00210040018340001c001408008000000008000000900000840c0000140006080ba020400080002720
DB00191,Phentermine,CC(C)(N)CC1=CC=CC=C1,0000000000000000000001000001060000000000000000000000000000000000000008000008084008100000400080000000000000000000000000000000000000000000020000000000000000000001000001001800000000000000814000100000000080000000000000000000000004000000000600020000000000000400
DB00193,Tramadol,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,000000004b0002082010010a000106000008100040004000020000000000000000000900000808c008300000400180000000000220a0000001000005000c0008000000000200000002c82000000202010000010018000030010000800050001000000000800000000000000010000000000002020006000a4002000000000600
